variable	tipo	n_valores_unicos	min	max
p8_5_5_nan	int64	2	0.0	1.0
p8_5_6_1.0	int64	2	0.0	1.0
p8_5_6_nan	int64	2	0.0	1.0
p8_5_7_1.0	int64	2	0.0	1.0
p8_5_7_nan	int64	2	0.0	1.0
p8_5_8_1.0	int64	2	0.0	1.0
p8_5_8_nan	int64	2	0.0	1.0
p8_5_9_1.0	int64	2	0.0	1.0
p8_5_9_nan	int64	2	0.0	1.0
p8_6_01_1.0	int64	2	0.0	1.0
p8_6_01_nan	int64	2	0.0	1.0
p8_6_02_1.0	int64	2	0.0	1.0
p8_6_02_nan	int64	2	0.0	1.0
p8_6_03_1.0	int64	2	0.0	1.0
p8_6_03_nan	int64	2	0.0	1.0
p8_6_04_1.0	int64	2	0.0	1.0
p8_6_04_nan	int64	2	0.0	1.0
p8_6_05_1.0	int64	2	0.0	1.0
p8_6_05_nan	int64	2	0.0	1.0
p8_6_06_1.0	int64	2	0.0	1.0
p8_6_06_nan	int64	2	0.0	1.0
p8_6_07_1.0	int64	2	0.0	1.0
p8_6_07_nan	int64	2	0.0	1.0
p8_6_08_1.0	int64	2	0.0	1.0
p8_6_08_nan	int64	2	0.0	1.0
p8_6_09_1.0	int64	2	0.0	1.0
p8_6_09_nan	int64	2	0.0	1.0
p8_6_10_1.0	int64	2	0.0	1.0
p8_6_10_nan	int64	2	0.0	1.0
p8_6_11_1.0	int64	2	0.0	1.0
p8_6_11_nan	int64	2	0.0	1.0
p9_2_2.0	int64	2	0.0	1.0
p9_2_3.0	int64	2	0.0	1.0
p9_2_4.0	int64	2	0.0	1.0
p9_2_5.0	int64	2	0.0	1.0
p9_2_6.0	int64	2	0.0	1.0
p9_2_7.0	int64	2	0.0	1.0
p9_2_nan	int64	2	0.0	1.0
p10_2_2.0	int64	2	0.0	1.0
p10_2_9.0	int64	2	0.0	1.0
p10_2_nan	int64	2	0.0	1.0
p10_3_2.0	int64	2	0.0	1.0
p10_3_nan	int64	2	0.0	1.0
